sheet,city,model,strategy,horizon,MAE,WAPE,MAPE,Directional Accuracy,Directional R2
Лист1,Благовещенск,Decision Tree,direct,1,2.3239380333382087,0.1547331731582593,56.76984831784488,0.32367360278897483,-0.20257317966229005
Лист1,Благовещенск,Decision Tree,direct,2,2.4013895944078585,0.15989007736071462,58.60614730375383,0.37999782111341107,-0.2772373966945936
Лист1,Благовещенск,Decision Tree,direct,3,2.3799978484683137,0.15846576540353802,58.18695435939453,0.33021026255583397,-0.18003402014220482
Лист1,Благовещенск,Decision Tree,direct,4,2.51628639654956,0.16754017238307825,62.39973012936457,0.26342738860442316,-0.12912119756120055
Лист1,Благовещенск,Decision Tree,direct,5,2.6111684906650225,0.17385764181977278,60.82130780936593,0.380324654101754,-0.27905441605483405
Лист1,Благовещенск,Decision Tree,direct,6,2.632095706686508,0.17525102429982173,65.29712891023962,0.24861095979954242,-0.14481615094306055
Лист1,Благовещенск,Decision Tree,direct,7,2.7169784860953277,0.1809083340275639,64.26553791938296,0.36424057528873394,-0.17557822330434258
Лист1,Благовещенск,Decision Tree,direct,8,2.8545863507741775,0.19007086868712902,68.63987007312181,0.3313358030071911,-0.26888794713925757
Лист1,Благовещенск,Decision Tree,direct,9,2.771071126508869,0.18451005907266332,67.87799078625774,0.2679232948354761,-0.10682280390471055
Лист1,Благовещенск,Decision Tree,direct,10,2.782559802267693,0.18527502545069993,64.98677711169768,0.3210939202440619,-0.18871185835794435
Лист1,Благовещенск,Decision Tree,direct,11,2.8998078013581465,0.19308191103778552,68.7813058706199,0.30889082588799305,-0.20052754338613488
Лист1,Благовещенск,Decision Tree,direct,12,2.914785740655714,0.19407920787298535,71.02790955564535,0.19993462628023534,-0.13458380688001803
Лист1,Благовещенск,Decision Tree,direct,13,3.062782455725171,0.20393347771788398,72.86337791389502,0.33253432120287646,-0.2512074924479173
Лист1,Благовещенск,Decision Tree,direct,14,2.980012660200437,0.1984274577035053,72.46271258906076,0.2661000326904217,-0.15162567092849644
Лист1,Благовещенск,Decision Tree,direct,15,3.0854581862854604,0.20544866534691597,70.3762753264117,0.3036940176528277,-0.2140185683070157
Лист1,Благовещенск,Decision Tree,direct,16,3.080098567018102,0.20509178913639373,73.99598800578437,0.32112890922959575,-0.18868684631724508
Лист1,Благовещенск,Decision Tree,direct,17,3.0723588696496753,0.2045764327781063,72.19666196452046,0.2889833278849297,-0.16449711962796076
Лист1,Благовещенск,Decision Tree,direct,18,3.1153238252827435,0.20743730213966133,72.22268653223163,0.2448512585812357,-0.14661893740784215
Лист1,Благовещенск,Decision Tree,direct,19,3.1366937344337886,0.20886024131063505,70.89189688858897,0.2192437615778577,-0.13880579474554522
Лист1,Благовещенск,Decision Tree,direct,20,3.2226521839164692,0.21458852303690495,74.43582022436118,0.2619877942458588,-0.29081186944764936
Лист1,Благовещенск,Decision Tree,direct,21,3.192443414015953,0.21257699497065383,72.19727556548115,0.2535963382737576,-0.20170890022963572
